Order Date,Total amount
2011-01-01,808.563
2011-01-02,314.22
2011-01-03,4503.5372
2011-01-04,2808.87024
2011-01-05,3662.3100000000004
2011-01-06,622.5381
2011-01-07,7123.0185
2011-01-08,6293.26
2011-01-09,813.7494
2011-01-10,6794.18116
2011-01-11,6451.2517
2011-01-12,2629.71652
2011-01-13,2584.595
2011-01-14,6280.4475
2011-01-15,2279.5306
2011-01-16,149.95
2011-01-17,2309.52924
2011-01-18,932.763
2011-01-19,2054.691
2011-01-20,2289.241
2011-01-21,8485.3576
2011-01-22,3564.1245
2011-01-23,2163.43
2011-01-24,3984.3813
2011-01-25,1191.622
2011-01-26,5422.6764
2011-01-27,2165.3999
2011-01-28,1208.122
2011-01-29,909.94
2011-01-30,454.887
2011-01-31,7642.585
2011-02-01,2455.67
2011-02-02,7712.6763
2011-02-03,366.644
2011-02-04,1866.782
2011-02-05,221.39600000000002
2011-02-06,2.688
2011-02-07,1799.1848
2011-02-08,1007.8199999999999
2011-02-09,4575.80736
2011-02-10,11865.386
2011-02-11,1007.42736
2011-02-12,2870.8
2011-02-13,129.568
2011-02-14,4603.894
2011-02-15,10346.901
2011-02-16,9333.6093
2011-02-17,630.9812000000001
2011-02-18,2301.1240000000003
2011-02-19,156.134
2011-02-21,4485.643
2011-02-22,2646.1440000000002
2011-02-23,4353.976
2011-02-24,5868.44554
2011-02-25,3393.51712
2011-02-26,4106.661
2011-02-27,624.96
2011-02-28,2418.317
2011-03-01,12565.7663
2011-03-02,4148.3728
2011-03-03,9479.936599999999
2011-03-04,1243.0729999999999
2011-03-05,834.166
2011-03-06,135.08
2011-03-07,3863.362
2011-03-08,9871.4036
2011-03-09,722.766
2011-03-10,4109.668
2011-03-11,2933.80812
2011-03-12,4636.7480000000005
2011-03-14,6627.33
2011-03-15,1824.624
2011-03-16,1160.882
2011-03-17,4614.013
2011-03-18,30117.546199999997
2011-03-19,971.462
2011-03-21,10681.92214
2011-03-22,3879.797
2011-03-23,5070.3631
2011-03-24,1363.384
2011-03-25,3267.17126
2011-03-26,856.445
2011-03-27,29.814
2011-03-28,4261.49644
2011-03-29,2950.3782
2011-03-30,5760.5126
2011-03-31,7748.076
2011-04-01,2582.801
2011-04-02,8922.054
2011-04-03,879.26
2011-04-04,5723.19948
2011-04-05,10266.5543
2011-04-06,4672.516
2011-04-07,3439.49
2011-04-08,6800.426
2011-04-09,367.365
2011-04-11,4548.4736
2011-04-12,4013.3250000000003
2011-04-13,3053.3892
2011-04-14,6250.894
2011-04-15,1727.692
2011-04-16,4039.898
2011-04-18,5905.0505
2011-04-19,2861.8179999999998
2011-04-20,4136.99
2011-04-21,4701.69
2011-04-22,7061.9661
2011-04-23,772.14
2011-04-24,165.816
2011-04-25,5028.6025
2011-04-26,2086.2285
2011-04-27,8435.277
2011-04-28,3908.238
2011-04-29,3070.826
2011-04-30,1493.784
2011-05-02,9275.207
2011-05-03,5259.2939
2011-05-04,7512.6567000000005
2011-05-05,2998.255
2011-05-06,5964.67968
2011-05-07,1983.5140000000001
2011-05-08,2501.493
2011-05-09,5018.48574
2011-05-10,5825.5265
2011-05-11,2821.097
2011-05-12,5518.592
2011-05-13,6773.806
2011-05-14,4542.15
2011-05-15,193.9275
2011-05-16,1568.453
2011-05-17,3523.569
2011-05-18,9233.3544
2011-05-19,3039.9052
2011-05-20,1291.395
2011-05-21,10643.690999999999
2011-05-22,225.89
2011-05-23,6533.044
2011-05-24,10474.0216
2011-05-25,3042.062
2011-05-26,5963.665
2011-05-27,5867.767
2011-05-28,2104.2679
2011-05-30,8638.3231
2011-05-31,8409.74388
2011-06-01,11480.492699999999
2011-06-02,12516.5933
2011-06-03,11349.365
2011-06-04,1924.083
2011-06-05,1139.3400000000001
2011-06-06,10266.1
2011-06-07,16750.66916
2011-06-08,9526.7146
2011-06-09,10247.062
2011-06-10,5473.2366
2011-06-11,3161.302
2011-06-12,37.464
2011-06-13,6576.14576
2011-06-14,4947.3435
2011-06-15,6110.8755
2011-06-16,4009.489
2011-06-17,14495.52216
2011-06-18,5516.986
2011-06-19,57.9
2011-06-20,8528.58376
2011-06-21,8718.351
2011-06-22,19196.0446
2011-06-23,3133.561
2011-06-24,5390.39244
2011-06-25,5901.02814
2011-06-26,1269.252
2011-06-27,6654.4935000000005
2011-06-28,7198.3968
2011-06-29,8332.532299999999
2011-06-30,5298.0604
2011-07-01,3844.656
2011-07-02,388.95500000000004
2011-07-04,1982.4309
2011-07-05,3723.7455
2011-07-06,3773.45656
2011-07-07,4855.94512
2011-07-08,3385.266
2011-07-09,2023.0790000000002
2011-07-11,5228.10488
2011-07-12,5227.161
2011-07-13,1940.142
2011-07-14,3035.146
2011-07-15,933.7476
2011-07-16,3626.502
2011-07-17,355.0
2011-07-18,5443.5756
2011-07-19,4766.4048
2011-07-20,7975.5875
2011-07-21,6100.88292
2011-07-22,3074.46
2011-07-23,3859.0052
2011-07-24,101.48
2011-07-25,12335.771999999999
2011-07-26,7916.3664
2011-07-27,9804.38074
2011-07-28,3210.4893
2011-07-29,1917.4847
2011-07-30,4205.2388
2011-07-31,475.9536
2011-08-01,6769.1215
2011-08-02,5344.5064999999995
2011-08-03,10667.9764
2011-08-04,13623.4015
2011-08-05,5711.4464
2011-08-06,1072.596
2011-08-07,37.86
2011-08-08,8099.047
2011-08-09,13284.498
2011-08-10,13151.891
2011-08-11,7410.921
2011-08-12,8969.5969
2011-08-13,2603.052
2011-08-15,6933.398
2011-08-16,13436.1683
2011-08-17,6625.604
2011-08-18,9052.81576
2011-08-19,10154.613000000001
2011-08-20,3032.602
2011-08-21,2995.5723
2011-08-22,5180.47692
2011-08-23,3310.35
2011-08-24,5164.88392
2011-08-25,9633.2171
2011-08-26,8122.276199999999
2011-08-27,5397.358
2011-08-29,7613.06082
2011-08-30,8905.7286
2011-08-31,5277.4521
2011-09-01,7250.914
2011-09-02,14364.1468
2011-09-03,813.54
2011-09-05,4149.8752
2011-09-06,10296.67936
2011-09-07,6333.653
2011-09-08,36827.74592
2011-09-09,11577.035679999999
2011-09-10,3268.4308
2011-09-11,1367.97
2011-09-12,14077.43268
2011-09-13,6391.793
2011-09-14,17720.99818
2011-09-15,10736.1766
2011-09-16,5407.0809
2011-09-17,2466.335
2011-09-18,750.24
2011-09-19,16203.33736
2011-09-20,13651.3334
2011-09-21,9810.8032
2011-09-22,9066.5295
2011-09-23,23866.899
2011-09-24,4393.344
2011-09-25,6371.5808
2011-09-26,8477.011340000001
2011-09-27,15354.15488
2011-09-28,11437.54184
2011-09-29,11746.710000000001
2011-09-30,6035.1629
2011-10-01,1624.20712
2011-10-02,598.144
2011-10-03,8662.521279999999
2011-10-04,8180.71572
2011-10-05,2596.1845000000003
2011-10-06,17181.1931
2011-10-07,11291.24992
2011-10-08,3840.9008000000003
2011-10-09,249.35999999999999
2011-10-10,7857.7148
2011-10-11,2025.2894999999999
2011-10-12,4656.312
2011-10-13,9798.95798
2011-10-14,14453.231099999999
2011-10-15,8231.75672
2011-10-16,1364.09648
2011-10-17,5983.01866
2011-10-18,8290.87736
2011-10-19,8883.0806
2011-10-20,7524.2985
2011-10-21,7271.4774
2011-10-22,4953.816
2011-10-24,4550.677
2011-10-25,4802.985
2011-10-26,8069.4229
2011-10-27,17289.6859
2011-10-28,5778.5817
2011-10-29,5022.808
2011-10-30,133.26
2011-10-31,7905.44
2011-11-01,18667.51056
2011-11-02,8691.009
2011-11-03,19275.0876
2011-11-04,18652.758
2011-11-05,10385.6998
2011-11-06,1555.6215
2011-11-07,13232.5699
2011-11-08,4292.2318
2011-11-09,12155.4545
2011-11-10,10174.021999999999
2011-11-11,24402.39878
2011-11-12,4232.5592
2011-11-13,345.76
2011-11-14,12537.5958
2011-11-15,10494.6696
2011-11-16,8008.8932
2011-11-17,14062.8082
2011-11-18,13514.9344
2011-11-19,9876.244
2011-11-20,975.0000000000001
2011-11-21,5411.8640000000005
2011-11-22,9528.56168
2011-11-23,8510.63296
2011-11-24,10785.4121
2011-11-25,18118.762319999998
2011-11-26,6403.18
2011-11-27,302.75
2011-11-28,9289.64072
2011-11-29,8444.3224
2011-11-30,6168.5835
2011-12-01,14118.3252
2011-12-02,7294.181
2011-12-03,9013.2148
2011-12-04,615.1999999999999
2011-12-05,10388.71264
2011-12-06,12460.3335
2011-12-07,10246.562
2011-12-08,13338.557499999999
2011-12-09,14316.2024
2011-12-10,5847.5503
2011-12-11,796.63504
2011-12-12,10224.353579999999
2011-12-13,14356.21064
2011-12-14,14350.1541
2011-12-15,15078.048
2011-12-16,14190.5144
2011-12-17,13732.1394
2011-12-19,10801.10436
2011-12-20,21881.9314
2011-12-21,13003.04024
2011-12-22,12810.8913
2011-12-23,10609.91348
2011-12-24,9788.526
2011-12-25,539.2235000000001
2011-12-26,14832.9215
2011-12-27,15140.1727
2011-12-28,18801.06272
2011-12-29,10904.2029
2011-12-30,6705.187
2011-12-31,7740.6630000000005
2012-01-02,10006.6647
2012-01-03,3453.3043
2012-01-04,2617.8439
2012-01-05,5662.225
2012-01-06,544.514
2012-01-07,3699.814
2012-01-08,2176.4519999999998
2012-01-09,3598.2799999999997
2012-01-10,6298.249
2012-01-11,8259.467999999999
2012-01-12,8385.098
2012-01-13,7106.17
2012-01-14,2041.0230000000001
2012-01-16,8370.402
2012-01-17,6562.9130000000005
2012-01-18,4541.032
2012-01-19,3370.9544
2012-01-20,3578.8797
2012-01-21,1382.57
2012-01-22,1493.13
2012-01-23,9669.3469
2012-01-24,3226.72
2012-01-25,3514.215
2012-01-26,3413.5885
2012-01-27,9422.532
2012-01-28,7629.48984
2012-01-29,876.66
2012-01-30,3633.518
2012-01-31,1245.663
2012-02-01,1655.2549
2012-02-02,11630.772
2012-02-03,957.816
2012-02-04,4976.20924
2012-02-05,396.84
2012-02-06,8730.321
2012-02-07,4020.95
2012-02-08,2318.80634
2012-02-09,4527.562
2012-02-10,3683.7683
2012-02-11,203.928
2012-02-12,156.54
2012-02-13,4968.7556
2012-02-14,4814.3652
2012-02-15,5439.31
2012-02-16,1259.6346
2012-02-17,1518.394
2012-02-18,5537.5228
2012-02-19,175.8
2012-02-20,2677.594
2012-02-21,4677.513
2012-02-22,2871.958
2012-02-23,4379.1314999999995
2012-02-24,3960.5175
2012-02-25,3307.15
2012-02-27,7574.4800000000005
2012-02-28,3048.877
2012-02-29,1040.446
2012-03-01,3912.28452
2012-03-02,10722.619999999999
2012-03-03,625.0500000000001
2012-03-05,8252.424
2012-03-06,5920.861
2012-03-07,8466.048999999999
2012-03-08,4857.2925
2012-03-09,3455.53676
2012-03-10,1169.653
2012-03-11,381.84
2012-03-12,4087.2451
2012-03-13,4668.912499999999
2012-03-14,5567.204900000001
2012-03-15,7147.5432
2012-03-16,13257.4236
2012-03-17,538.503
2012-03-19,11459.7256
2012-03-20,17842.2938
2012-03-21,4297.802
2012-03-22,5868.942
2012-03-23,3936.5048
2012-03-24,1816.809
2012-03-26,8993.664999999999
2012-03-27,7167.215
2012-03-28,4451.0828
2012-03-29,7350.868
2012-03-30,3309.65608
2012-03-31,3551.764
2012-04-01,510.8958
2012-04-02,4606.772
2012-04-03,2207.699
2012-04-04,2904.12448
2012-04-05,9765.98048
2012-04-06,7148.48124
2012-04-07,6394.754
2012-04-09,3254.542
2012-04-10,3481.707
2012-04-11,5853.7588
2012-04-12,3760.98448
2012-04-13,10056.3505
2012-04-14,9265.29444
2012-04-15,493.05600000000004
2012-04-16,14554.1235
2012-04-17,5026.78624
