year,week,Total amount
2011,1,25827.28344
2011,2,27169.67248
2011,3,21799.13634
2011,4,15337.0286
2011,5,20268.4413
2011,6,23255.99352
2011,7,27372.643500000002
2011,8,25479.34666
2011,9,30824.7117
2011,10,26137.75572
2011,11,45315.8572
2011,12,25148.8965
2011,13,33104.57824
2011,14,31269.55078
2011,15,23633.6718
2011,16,25605.4706
2011,17,24022.956
2011,18,35495.09928
2011,19,30693.58474
2011,20,29526.2576
2011,21,33984.8275
2011,22,55457.94098
2011,23,55462.54836
2011,24,41714.26192
2011,25,52137.21294
2011,26,31717.094
2011,27,19743.92308
2011,28,20345.80348
2011,29,31321.39602
2011,30,39865.68554
2011,31,43226.9083
2011,32,53519.0059
2011,33,52230.77336
2011,34,36808.56214
2011,35,44224.84232
2011,36,73821.38996
2011,37,57550.05636
2011,38,83363.82726
2011,39,55272.93208
2011,40,52002.12532
2011,41,48387.35858
2011,42,42906.56852
2011,43,45647.4205
2011,44,85133.12646
2011,45,68834.99618
2011,46,69470.1452
2011,47,59061.16306
2011,48,54943.46762
2011,49,67394.55338
2011,50,81931.42012
2011,51,79434.63028
2011,52,75246.99282
2012,1,38829.4023
2012,2,35688.288
2012,3,29299.8811
2012,4,37752.55224
2012,5,24496.07314
2012,6,23641.87564
2012,7,23713.7822
2012,8,21873.864
2012,9,26923.75752
2012,10,32503.65626
2012,11,35266.8323
2012,12,45222.0772
2012,13,35335.14668
2012,14,33027.8112
2012,15,36165.69322
2012,16,50191.51992
2012,17,35433.49238
2012,18,30742.27666
2012,19,51907.8838
2012,20,40358.77438
2012,21,49440.7756
2012,22,57023.4547
2012,23,51141.75736
2012,24,62668.85224
2012,25,71581.408
2012,26,57940.34392
2012,27,36771.64566
2012,28,34362.1611
2012,29,29332.231
2012,30,30264.99686
2012,31,66343.35362
2012,32,56124.52924
2012,33,58462.299
2012,34,69966.76162
2012,35,71887.7284
2012,36,66275.767
2012,37,68870.45476
2012,38,77287.96572
2012,39,69276.91916
2012,40,61454.61678
2012,41,52314.11112
2012,42,55236.67158
2012,43,57664.26182
2012,44,63368.2654
2012,45,86077.23534
2012,46,85355.4378
2012,47,64902.8398
2012,48,65934.60236
2012,49,76648.16764
2012,50,63901.54198
2012,51,80102.97102
2012,52,91079.92666
2013,1,77404.65144
2013,2,43816.68
2013,3,34755.113339999996
2013,4,35454.7004
2013,5,51991.5573
2013,6,52301.85608
2013,7,32094.1165
2013,8,38487.1755
2013,9,42917.28996
2013,10,47791.46846
2013,11,56391.43594
2013,12,41291.0236
2013,13,38791.62028
2013,14,39573.8831
2013,15,40640.99062
2013,16,46256.88272
2013,17,36831.260800000004
2013,18,48016.7811
2013,19,48179.5917
2013,20,49499.82134
2013,21,57026.05612
2013,22,82291.69104
2013,23,90083.011
2013,24,112361.15908
2013,25,79973.90898
2013,26,104104.45584
2013,27,46837.2515
2013,28,58890.75954
2013,29,48134.36434
2013,30,56410.76102
2013,31,52907.0091
2013,32,53167.29882
2013,33,84039.26418
2013,34,86913.46558
2013,35,69482.87528
2013,36,84869.26688
2013,37,97007.6484
2013,38,103003.17204
2013,39,74377.34654
2013,40,85608.06476000001
2013,41,54896.861020000004
2013,42,69314.53522
2013,43,55963.0636
2013,44,68747.71092
2013,45,78598.52346
2013,46,90123.20938
2013,47,77498.3266
2013,48,105007.09684
2013,49,88184.56302
2013,50,80633.52816
2013,51,113599.9314
2013,52,93202.36954
2014,1,79441.96422
2014,2,48901.7751
2014,3,64301.23464
2014,4,58539.48958
2014,5,46149.445999999996
2014,6,39574.2224
2014,7,59615.909
2014,8,45587.4708
2014,9,42719.63304
2014,10,39472.378
2014,11,56428.6726
2014,12,72119.16732
2014,13,77648.92302
2014,14,55858.75522
2014,15,59136.06792
2014,16,62529.2045
2014,17,51886.95432
2014,18,53170.74194
2014,19,71784.51116
2014,20,61311.16432
2014,21,63774.25854
2014,22,67666.34952
2014,23,83765.02362
2014,24,88435.48192
2014,25,102155.83432
2014,26,106010.71186
2014,27,75860.89016
2014,28,54529.95656
2014,29,52551.23732
2014,30,53963.24866
2014,31,75333.97706
2014,32,104145.31852
2014,33,104876.64528
2014,34,118144.35654
2014,35,95327.16012
2014,36,113942.36258
2014,37,101984.14632
2014,38,123273.13948
2014,39,110573.4577
2014,40,92938.15884
2014,41,86737.32098
2014,42,102970.47142
2014,43,93373.00084000001
2014,44,87211.2407
2014,45,123896.22548
2014,46,122530.74406
2014,47,162917.6573
2014,48,136854.97416
2014,49,111222.48302
2014,50,113998.93574
2014,51,99450.1321
2014,52,123273.28474
