Order Date,Total amount,,
41121,2309.65,,
41310,3709.395,,
41564,5175.171,,
41302,2892.51,,
41583,2832.96,,
41453,2862.675,,
40854,1822.08,,
41013,5244.84,,
41926,5083.96,,
40936,4297.644,,
40638,4164.05,,
41018,4626.15,,
40904,2616.96,,
41226,2221.8,,
41431,3701.52,,
41851,1869.588,,
41946,2249.91,,
41890,7958.58,,
41670,2565.594,,
41978,3409.74,,
41129,1977.72,,
40845,2735.952,,
40665,2754,,
41332,5273.7,,
41851,1713.84,,
41887,2106.496,,
40894,1715.16,,
40616,3069.738,,
41344,4158.912,,
40964,1878.72,,
40905,1696.64,,
41107,2402.865,,
41197,2453.43,,
40850,2526.93,,
40889,3610.848,,
40800,3817.26,,
40800,2799.96,,
41948,7999.98,,
41653,4141.02,,
40553,2875.095,,
41508,3200.5962,,
41954,4518.78,,
41908,5667.87,,
41256,5785.02,,
40809,3018.624,,
40809,9449.95,,
41341,2092.5,,
41879,2761.2,,
41760,2174.13,,
41991,3473.14,,
41076,3050.376,,
41900,2108.64,,
41845,2399.96,,
40894,2197.5,,
41626,2582.16,,
41059,1526.52,,
40987,3149.93,,
41054,1745.34,,
41856,4191.507,,
41875,4367.896,,
41709,3063.27,,
41221,4643.8,,
41862,4473,,
41517,1502.01,,
41657,5049,,
41610,2104.55,,
41980,2188.05,,
41989,1920.36,,
41963,1704,,
40856,1858.68,,
41432,3298.26,,
40869,2443.48,,
41362,3808.8,,
41877,3427.1496,,
41172,3441.69,,
41775,2863.35,,
40984,6354.95,,
41602,1487.4,,
40856,3200.04,,
40844,2301,,
41962,5729.346,,
41940,5301.24,,
41656,5443.96,,
41869,4416.174,,
41303,3219.9,,
41170,2487.8088,,
41601,2266.44,,
41073,3068.361,,
41575,3728.43,,
41620,1581.48,,
41054,1916.73,,
41400,1685.88,,
41610,2432.16,,
41996,3863.88,,
41302,2465.82,,
41036,1847.52,,
41605,2899.89,,
41241,2891.7,,
41181,2016.846,,
41520,3155.544,,
41481,3856.14,,
41962,3524.472,,
41079,2167.296,,
41193,2556,,
40764,1469.25,,
40852,4448.832,,
41950,2036.86,,
41390,2472.66,,
41634,3739.176,,
41346,2570.865,,
41381,9099.93,,
41004,2875.77,,
41269,1741.8,,
41382,1601.64,,
40687,3670.8,,
41051,2973.32,,
41410,1900.95,,
40883,1261.33,,
40590,4544.1,,
41425,1455.12,,
41548,1943.19,,
40891,6999.96,,
41626,9892.74,,
41619,1695.87,,
41716,1505.979,,
41992,1954.17,,
40897,2244.48,,
41418,8399.976,,
40830,1628.82,,
41900,1213.18876,,
41603,1590.6,,
41585,2330.64,,
41839,3278.5848,,
41137,3741.5238,,
41513,1603.136,,
40919,3637.602,,
41302,2455.88,,
41074,1024.68,,
40878,2807.84,,
41450,4476.8,,
41249,2297.96,,
41522,2671.41,,
41900,3834,,
41894,2054.272,,
41124,3501.7368,,
41982,1725.462,,
41207,1583.7,,
41103,1931.04,,
41513,2760.345,,
40676,3078.72,,
40850,1983.135,,
41853,1112.778,,
40806,3616.5,,
41647,3059.982,,
41344,2892.105,,
40941,3263.4,,
41526,2396.2656,,
41738,3117.088,,
41335,4899.93,,
41717,1888.7,,
41549,3000.78,,
41286,3801.63,,
41871,5211.12,,
40894,1356.03,,
41712,3569.643,,
41359,1287.45,,
41829,2910.0816,,
41436,3126.4002,,
40765,5276.988,,
41715,2645.376,,
41276,1637.01,,
41604,4499.985,,
41192,2645.376,,
41935,2399.6,,
40711,3238.305,,
41732,2291.814,,
40680,2124.5,,
41681,2757.78,,
41559,1549.98,,
40805,2624.985,,
41837,3146.4,,
41965,2456.619,,
40693,2228.6355,,
41730,2999.95,,
41837,4001.04,,
41880,4876.875,,
41269,1788.822,,
41954,3622.29,,
41395,1242.585,,
40771,4453.05,,
41976,2673.36,,
41450,2046.195,,
41295,5451.3,,
41569,4535.976,,
41832,1722.2832,,
41634,2575.944,,
41883,1007.424,,
40864,2934.33,,
40701,4624.29,,
40829,1066.446,,
41435,957.6,,
41986,4864.32,,
41925,2154.9,,
41800,1433.8395,,
40589,2784.6,,
41606,3063.27,,
41808,3404.5,,
41537,1606.23,,
40764,2044.8,,
40715,1214.85,,
41123,1521,,
41079,2443.905,,
41106,1348.704,,
41488,1141.8,,
41781,1865.97,,
40584,6998.64,,
41544,1091.25,,
41792,1094.22,,
41547,1320.624,,
40743,2555.64,,
41865,3498.72,,
41481,1439.976,,
41943,2272.86,,
41480,5211.12,,
41919,2582.16,,
41929,3194.55,,
41611,1704.996,,
41951,1538.721,,
41435,1381.32,,
40807,1181.547,,
40715,1696.248,,
41768,3359.952,,
41905,4663.736,,
41969,1237.56,,
40998,1274.7,,
40857,3172.14,,
41873,4305.552,,
41122,3979.29,,
41996,1586.69,,
41824,2395.2,,
41964,1259.97,,
41297,2058,,
40684,2539.8765,,
41910,2898.21,,
40853,1320.0075,,
41667,2171.16,,
41895,4448.223,,
41244,1913.4,,
40899,2300.616,,
41310,2615.94,,
40905,1066.68,,
41422,3504.9,,
40660,2544.6,,
40822,3694.68,,
41510,2214.849,,
41538,1236.48,,
41990,1805.9,,
40805,3059.982,,
41824,1687.8,,
40684,2715.93,,
41793,1810.3,,
41894,2120.5,,
41746,1275,,
41234,1593.648,,
41704,1114.236,,
41113,2944.08,,
41950,3309.2598,,
41965,897.48,,
40705,2056.05,,
41166,2365.6592,,
40872,1336.356,,
41131,3038.64,,
41353,2698.65,,
41638,3799.08,,
41186,2756.34,,
41127,983.88,,
41184,1719.807,,
41724,1421.541,,
41964,1053.6884,,
40877,1440.84,,
40850,2544.372,,
41236,2625.12,,
41249,1554.48,,
41611,1278,,
41263,3474.08,,
41165,2550,,
41582,1101.48,,
41594,1016.792,,
41372,1199.976,,
41052,934.248,,
41961,10499.97,,
41743,3908.88,,
41880,2142.3,,
41775,1900.584,,
41256,1840.68,,
40633,2624.04,,
40943,3076.5,,
41423,3181.7718,,
41150,1392.633,,
40709,1296.24,,
41879,1682.91,,
40843,1278,,
41717,2570.76,,
41893,2332.96,,
41149,1582.2,,
41867,1801.632,,
41487,1512,,
41435,695.7,,
41997,2550,,
41258,2025.36,,
40962,2285.7,,
41923,1029.2589,,
41750,1058.2792,,
41437,5751.54,,
41534,2442.069,,
41901,1190.52,,
41969,3150.819,,
41883,1599.9,,
41810,2063.4,,
41935,1269.9,,
40771,3274.02,,
41894,848.32,,
41145,3080,,
41653,2847.36,,
41956,1725.75,,
41438,1479.3138,,
41267,4899.93,,
41904,1282.23,,
40551,2478.6,,
41550,17499.95,,
41485,959.76,,
41121,1090.782,,
41759,4135.641,,
40814,2325.28,,
41814,5486.67,,
40639,1523.664,,
41858,1625.2425,,
41597,1319.96,,
41684,734.94,,
41972,2065.32,,
41138,1391.52,,
41152,1552.831,,
41128,2461.06,,
41666,2939.93,,
40794,8159.952,,
41130,1226.19,,
41326,1809.255,,
41108,1863,,
40866,4548.81,,
41738,1244.187,,
41078,2364.102,,
41639,1946.313,,
41820,895.92,,
40924,2283.714,,
41072,2549.76,,
41715,3299.562,,
41226,2489.4,,
41605,3406.664,,
41249,999.98,,
41775,1189.242,,
41998,2879.952,,
41995,1269.6,,
41531,3499.155,,
41281,2993.025,,
41817,815.949,,
41103,1245,,
41681,1027.728,,
41788,1703.025,,
41745,1803.0837,,
41970,676.485,,
40856,969.36,,
41900,1637.01,,
41694,1655.96144,,
41520,976.96,,
41631,731.34,,
41807,1239,,
41713,1680.606,,
41832,2190.75,,
41799,935.172,,
41927,1026.96,,
41857,2550,,
41250,1224.714,,
41268,2667.537,,
41410,2605.92,,
41442,2962.68,,
41946,2664,,
41057,1513.56,,
41503,1233.63,,
40697,855.15,,
40738,956.34,,
40815,1801.632,,
40833,1838.52,,
40861,4498.83,,
41834,1824.144,,
41793,2344,,
41988,2043.72,,
41818,856.8,,
41993,2509.36,,
40945,819.936,,
40564,2797.248,,
41124,1455.08,,
41939,2189.0898,,
40966,5451.3,,
41071,1291.08,,
40597,1526.52,,
41897,1079.85,,
41475,1869.72,,
41362,1815.24,,
41935,959.76,,
41814,3045.84,,
41577,2125,,
41256,976.08,,
41398,1266.36,,
41767,1458.65,,
40794,2134.44,,
41021,4748.436,,
41577,1867.5,,
40649,1001.7,,
41194,899.136,,
41785,663.92,,
41943,4306.32,,
41376,899.55,,
41589,763.92,,
41195,2544.24,,
41195,1136.664,,
41669,2301,,
41194,3908.88,,
41614,1951.84,,
41976,2479.96,,
41536,2249.16,,
41274,2528.26,,
42002,1461.135,,
41593,3045.84,,
40798,3785.292,,
41774,1399.93,,
41890,2152.956,,
41442,1244.1,,
40885,2226.816,,
41901,1586.412,,
41605,3040,,
41680,3425.4,,
41678,1136.94,,
41491,677.6352,,
41744,731.34,,
40623,3499.93,,
41764,1272.72,,
41582,1856.34,,
41800,2295,,
41152,1622.1825,,
41445,1063.44,,
41874,3449.88,,
41057,585.456,,
41778,1429.44,,
41393,1057.8,,
41631,1092.96,,
41924,1483,,
41744,1792.4,,
41971,2455.677,,
41040,1900.44,,
41443,3712.59,,
41033,2372.22,,
40858,5725.35,,
41997,2553.18,,
41774,2003.52,,
41982,1188.36,,
40884,2875.095,,
41527,2380.5,,
40605,1619.1,,
40910,2821.7178,,
41212,2991.1032,,
41597,1798.6764,,
41501,2544.84,,
41433,951.72,,
41914,2575.92,,
41697,1699.83,,
41578,2634.552,,
41626,3707.352,,
41768,4298.85,,
41824,3417.48,,
41046,2080.32,,
40758,840.6,,
41484,1369.764,,
41319,1288.8,,
41052,660.69,,
41855,3234.24,,
41591,2171.3,,
41682,2074.734,,
41954,849.8,,
41363,1177.173,,
41510,2270.34,,
41945,2665.62,,
41505,2863.08,,
41788,1253.07,,
41143,3369.24,,
41825,1464.12,,
40982,1273.125,,
41914,1704.89,,
41898,1258.7774,,
41858,2584.008,,
41526,1482.39,,
41890,1274.7,,
40847,1604.9,,
41199,2818.08,,
41687,1046.25,,
40963,3187.2,,
41246,4099.68,,
41255,703.35,,
41806,2293.488,,
41263,1238.6115,,
41772,1715.056,,
41993,1665.62,,
41950,2841.66,,
41435,3399.66,,
41039,1607.76,,
41530,840.15,,
41480,1236.33,,
41923,2488.56,,
40869,1124.256,,
41402,3999.95,,
41937,726.72,,
41149,2799.96,,
41561,1519.92,,
40588,1279.32,,
41760,723.3,,
40613,642.69,,
41124,2619,,
41263,1704.87,,
41124,1715.91,,
41080,1278,,
41313,1234.56,,
40814,4195.2,,
41083,1765.395,,
41628,1480.368,,
41193,2968.98,,
40784,2301.138,,
41838,1100.52,,
40883,2518.95,,
