Order Date,Total amount
04-01-2011,16.448
05-01-2011,288.06
06-01-2011,19.536
07-01-2011,4407.1
08-01-2011,87.158
10-01-2011,40.544
11-01-2011,54.83
12-01-2011,9.94
14-01-2011,3553.795
15-01-2011,61.96
16-01-2011,149.95
17-01-2011,299.964
19-01-2011,64.864
20-01-2011,378.594
21-01-2011,2673.87
22-01-2011,25.248
24-01-2011,46.02
27-01-2011,1097.25
28-01-2011,426.67
29-01-2011,3.928
31-01-2011,240.5
01-02-2011,290.666
02-02-2011,468.9
03-02-2011,211.646
04-02-2011,97.112
05-02-2011,134.384
07-02-2011,330.512
08-02-2011,180.32
09-02-2011,14.56
12-02-2011,2043.4
13-02-2011,129.568
15-02-2011,576.726
16-02-2011,21.36
17-02-2011,9.04
18-02-2011,54.208
19-02-2011,37.784
21-02-2011,95.59
22-02-2011,8.85
23-02-2011,19.44
24-02-2011,11.364
25-02-2011,55.672
28-02-2011,19.456
01-03-2011,2203.151
02-03-2011,202.384
03-03-2011,1345.892
04-03-2011,370.452
05-03-2011,705.562
07-03-2011,1561.062
10-03-2011,741.956
11-03-2011,918.314
14-03-2011,2108.55
15-03-2011,370.782
16-03-2011,471.92
17-03-2011,3960.358
18-03-2011,28106.716
19-03-2011,590.762
21-03-2011,4109.816
22-03-2011,464.093
23-03-2011,945.064
24-03-2011,65.38
25-03-2011,459.146
26-03-2011,145.13
28-03-2011,1823.804
29-03-2011,890.841
30-03-2011,1170.322
31-03-2011,1959.552
01-04-2011,119.888
02-04-2011,1458.558
03-04-2011,233.45
04-04-2011,475.844
05-04-2011,5295.098
06-04-2011,1650.69
07-04-2011,1021.17
08-04-2011,1958.75
11-04-2011,1915.24
12-04-2011,1912.123
13-04-2011,638.576
15-04-2011,294.72
16-04-2011,39.072
18-04-2011,1020.532
19-04-2011,205.47
20-04-2011,1250.45
21-04-2011,845.36
22-04-2011,257.752
23-04-2011,643.98
25-04-2011,2379.994
26-04-2011,282.568
28-04-2011,2578.476
29-04-2011,768.844
30-04-2011,1048.74
02-05-2011,506.12
03-05-2011,72.632
04-05-2011,187.432
05-05-2011,260.977
06-05-2011,254.456
07-05-2011,1091.35
08-05-2011,1799.97
09-05-2011,394.48
10-05-2011,2343.799
11-05-2011,1642.802
12-05-2011,734.846
13-05-2011,898.382
14-05-2011,310.88
16-05-2011,289.28
17-05-2011,91.68
18-05-2011,948.948
19-05-2011,91.62
20-05-2011,320.104
21-05-2011,4264.328
22-05-2011,180.93
23-05-2011,323.758
24-05-2011,116.28
25-05-2011,119.54
26-05-2011,1325.718
27-05-2011,2157.394
28-05-2011,221.968
30-05-2011,1924.913
31-05-2011,773.7
01-06-2011,5188.52
02-06-2011,738.598
03-06-2011,741.336
04-06-2011,456.272
06-06-2011,1374.001
07-06-2011,281.397
08-06-2011,2501.264
09-06-2011,5463.008
10-06-2011,491.55
13-06-2011,14.52
14-06-2011,212.94
15-06-2011,942.974
16-06-2011,763.792
17-06-2011,3418.502
18-06-2011,139.8
20-06-2011,1828.9496
21-06-2011,4107.443
22-06-2011,1975.498
23-06-2011,109.496
24-06-2011,4.272
25-06-2011,792.76
27-06-2011,616.14
28-06-2011,1645.791
29-06-2011,46.68
30-06-2011,739.624
01-07-2011,601.024
02-07-2011,79.56
04-07-2011,247.408
05-07-2011,1444.104
06-07-2011,1038.472
07-07-2011,241.194
08-07-2011,763.074
09-07-2011,265.521
11-07-2011,2187.206
12-07-2011,1960.012
13-07-2011,351.216
14-07-2011,292.594
15-07-2011,9.51
18-07-2011,273.04
19-07-2011,461.326
20-07-2011,2285.786
21-07-2011,1961.482
22-07-2011,1348.344
23-07-2011,2613.184
25-07-2011,8341.29
26-07-2011,5039.994
27-07-2011,580.06
28-07-2011,193.152
30-07-2011,1367.84
01-08-2011,228.328
02-08-2011,886.28
03-08-2011,477.994
04-08-2011,2743.154
05-08-2011,2408.724
06-08-2011,262.89
08-08-2011,3955.629
09-08-2011,3605.685
11-08-2011,451.62
12-08-2011,1832.38
15-08-2011,842.782
16-08-2011,853.092
17-08-2011,500.342
19-08-2011,1439.106
20-08-2011,1838.722
