year,weekofyear,Total amount
2011,1,4818.302
2011,2,3871.0190000000002
2011,3,3442.54
2011,4,1573.868
2011,5,1443.2079999999999
2011,6,2698.3599999999997
2011,7,699.1179999999999
2011,8,190.916
2011,9,4846.897
2011,10,3221.332
2011,11,35609.087999999996
2011,12,6188.629
2011,13,7656.415
2011,14,10401.552
2011,15,4799.731
2011,16,4223.544
2011,17,7058.622
2011,18,4172.937
2011,19,6325.189
2011,20,6186.889999999999
2011,21,4264.657999999999
2011,22,9823.339
2011,23,10111.22
2011,24,5492.528
2011,25,8818.418599999999
2011,26,3728.819
2011,27,3999.773
2011,28,4800.538
2011,29,8943.162
2011,30,15522.336
2011,31,7007.37
2011,32,9845.314
2011,33,5474.044
2011,34,4536.658
2011,35,4791.7485
2011,36,24175.733
2011,37,12191.295
2011,38,29823.7088
2011,39,12443.802
2011,40,2912.153
2011,41,10627.792
2011,42,6993.602
2011,43,4954.966
2011,44,23436.631
2011,45,14528.6772
2011,46,27256.2555
2011,47,15620.151
2011,48,11181.086
2011,49,8674.128
2011,50,18577.4015
2011,51,16023.918
2011,52,18238.115
2012,1,5672.9316
2012,2,2859.066
2012,3,652.126
2012,4,8110.396000000001
2012,5,2753.7360000000003
2012,6,3748.538
2012,7,2948.616
2012,8,3050.8860000000004
2012,9,4252.2794
2012,10,7464.287
2012,11,9439.598
2012,12,11999.1886
2012,13,7281.434
2012,14,5805.316
2012,15,5524.506
2012,16,11484.73
2012,17,9808.9615
2012,18,5509.9890000000005
2012,19,5981.544
2012,20,3781.9475
2012,21,8571.675
2012,22,8692.424
2012,23,4665.504
2012,24,8906.058
2012,25,6122.864
2012,26,4268.668
2012,27,5116.75
2012,28,8519.091
2012,29,6845.079
2012,30,4128.441
2012,31,6530.7880000000005
2012,32,8229.1552
2012,33,4845.058
2012,34,11469.731
2012,35,12347.128
2012,36,7898.246
2012,37,13360.842
2012,38,26551.32
2012,39,14417.946
2012,40,4059.5699999999997
2012,41,8378.1625
2012,42,7356.074
2012,43,6033.824
2012,44,17012.796
2012,45,24815.799
2012,46,15892.2692
2012,47,12812.0798
2012,48,18147.5065
2012,49,18162.329
2012,50,13501.594
2012,51,14007.293
2012,52,20736.3672
2013,1,5878.3279999999995
2013,2,3009.974
2013,3,2250.035
2013,4,4707.058
2013,5,14773.704
2013,6,5578.016
2013,7,3963.421
2013,8,2974.028
2013,9,6724.002
2013,10,11401.001
2013,11,22363.456000000002
2013,12,5361.181
2013,13,5663.669
2013,14,8009.618
2013,15,8491.419
2013,16,17353.269
2013,17,4907.615
2013,18,3343.895
2013,19,11166.972
2013,20,3373.322
2013,21,20722.039
2013,22,19010.38
2013,23,9283.149
2013,24,11747.872
2013,25,5513.909000000001
2013,26,12446.654
2013,27,6349.112999999999
2013,28,8063.684
2013,29,10143.472
2013,30,9261.182
2013,31,8653.514
2013,32,2971.876
2013,33,7659.5105
2013,34,10350.676
2013,35,8277.2598
2013,36,25995.867
2013,37,18730.7456
2013,38,14392.592
2013,39,12457.1443
2013,40,28661.54
2013,41,3228.385
2013,42,10010.104
2013,43,11702.926
2013,44,8371.84
2013,45,18016.1028
2013,46,22484.35
2013,47,9404.962
2013,48,29053.177
2013,49,27409.453
2013,50,20130.395
2013,51,23451.765
2013,52,23224.208
2014,1,11650.0968
2014,2,4596.8009999999995
2014,3,14894.460000000001
2014,4,10409.568
2014,5,8438.891
2014,6,5035.717
2014,7,3300.813
2014,8,7102.3694
2014,9,4862.2339999999995
2014,10,6706.998
2014,11,9131.710000000001
2014,12,9983.337
2014,13,27412.89
2014,14,13274.3738
2014,15,11259.3455
2014,16,6706.9800000000005
2014,17,7102.997
2014,18,9709.0836
2014,19,12044.141800000001
2014,20,9310.581
2014,21,10863.286
2014,22,6149.2754
2014,23,8947.98
2014,24,10096.394
2014,25,15449.3565
2014,26,9244.027
2014,27,17492.748199999998
2014,28,7744.028
2014,29,10851.008
2014,30,12634.658
2014,31,7871.592
2014,32,5958.744
2014,33,11339.216
2014,34,31467.106
2014,35,9107.342
2014,36,21062.589
2014,37,18967.075
2014,38,28001.285
2014,39,19954.422000000002
2014,40,13965.059000000001
2014,41,13277.781
2014,42,18793.377
2014,43,27693.285200000002
2014,44,10012.962
2014,45,30940.711
2014,46,21512.9222
2014,47,32577.3148
2014,48,23850.165
2014,49,27434.938
2014,50,23308.405
2014,51,13010.635
2014,52,21433.948
