Order Date,Total amount
abc,2309.65
s,3709.395
abc,5175.171
abc,2892.51
abc,2832.96
abc,2862.675
abc,1822.08
abc,5244.84
abc,5083.96
abc,4297.644
abc,4164.05
abc,4626.15
abc,2616.96
abc,2221.8
abc,3701.52
abc,1869.588
abc,2249.91
abc,7958.58
abc,2565.594
abc,3409.74
abc,1977.72
abc,2735.952
abc,2754
abc,5273.7
abc,1713.84
abc,2106.496
abc,1715.16
abc,3069.738
abc,4158.912
abc,1878.72
abc,1696.64
abc,2402.865
abc,2453.43
abc,2526.93
abc,3610.848
abc,3817.26
abc,2799.96
abc,7999.98
abc,4141.02
abc,2875.095
abc,3200.5962
abc,4518.78
abc,5667.87
abc,5785.02
abc,3018.624
abc,9449.95
abc,2092.5
abc,2761.2
abc,2174.13
abc,3473.14
abc,3050.376
abc,2108.64
abc,2399.96
abc,2197.5
abc,2582.16
abc,1526.52
abc,3149.93
abc,1745.34
abc,4191.507
abc,4367.896
abc,3063.27
abc,4643.8
abc,4473
abc,1502.01
abc,5049
abc,2104.55
abc,2188.05
abc,1920.36
abc,1704
abc,1858.68
abc,3298.26
abc,2443.48
abc,3808.8
abc,3427.1496
abc,3441.69
abc,2863.35
abc,6354.95
abc,1487.4
abc,3200.04
abc,2301
abc,5729.346
abc,5301.24
abc,5443.96
abc,4416.174
abc,3219.9
abc,2487.8088
abc,2266.44
abc,3068.361
abc,3728.43
abc,1581.48
abc,1916.73
abc,1685.88
abc,2432.16
abc,3863.88
abc,2465.82
abc,1847.52
abc,2899.89
abc,2891.7
abc,2016.846
abc,3155.544
abc,3856.14
abc,3524.472
abc,2167.296
abc,2556
abc,1469.25
abc,4448.832
abc,2036.86
abc,2472.66
abc,3739.176
abc,2570.865
abc,9099.93
abc,2875.77
abc,1741.8
abc,1601.64
abc,3670.8
abc,2973.32
abc,1900.95
abc,1261.33
abc,4544.1
abc,1455.12
abc,1943.19
abc,6999.96
abc,9892.74
abc,1695.87
abc,1505.979
abc,1954.17
abc,2244.48
abc,8399.976
abc,1628.82
abc,1213.18876
abc,1590.6
abc,2330.64
abc,3278.5848
abc,3741.5238
abc,1603.136
abc,3637.602
abc,2455.88
abc,1024.68
abc,2807.84
abc,4476.8
abc,2297.96
abc,2671.41
abc,3834
abc,2054.272
abc,3501.7368
abc,1725.462
abc,1583.7
abc,1931.04
abc,2760.345
abc,3078.72
abc,1983.135
abc,1112.778
abc,3616.5
abc,3059.982
abc,2892.105
abc,3263.4
abc,2396.2656
abc,3117.088
abc,4899.93
abc,1888.7
abc,3000.78
abc,3801.63
abc,5211.12
abc,1356.03
abc,3569.643
abc,1287.45
abc,2910.0816
abc,3126.4002
abc,5276.988
abc,2645.376
abc,1637.01
abc,4499.985
abc,2645.376
abc,2399.6
abc,3238.305
abc,2291.814
abc,2124.5
abc,2757.78
abc,1549.98
abc,2624.985
abc,3146.4
abc,2456.619
abc,2228.6355
abc,2999.95
abc,4001.04
abc,4876.875
abc,1788.822
abc,3622.29
abc,1242.585
abc,4453.05
abc,2673.36
abc,2046.195
abc,5451.3
abc,4535.976
abc,1722.2832
abc,2575.944
abc,1007.424
abc,2934.33
abc,4624.29
abc,1066.446
abc,957.6
abc,4864.32
abc,2154.9
abc,1433.8395
abc,2784.6
abc,3063.27
abc,3404.5
abc,1606.23
abc,2044.8
abc,1214.85
abc,1521
abc,2443.905
abc,1348.704
abc,1141.8
abc,1865.97
abc,6998.64
abc,1091.25
abc,1094.22
abc,1320.624
abc,2555.64
abc,3498.72
abc,1439.976
abc,2272.86
abc,5211.12
abc,2582.16
abc,3194.55
abc,1704.996
abc,1538.721
abc,1381.32
abc,1181.547
abc,1696.248
abc,3359.952
abc,4663.736
abc,1237.56
abc,1274.7
abc,3172.14
abc,4305.552
abc,3979.29
abc,1586.69
abc,2395.2
abc,1259.97
abc,2058
abc,2539.8765
abc,2898.21
abc,1320.0075
abc,2171.16
abc,4448.223
abc,1913.4
abc,2300.616
abc,2615.94
abc,1066.68
abc,3504.9
abc,2544.6
abc,3694.68
abc,2214.849
abc,1236.48
abc,1805.9
abc,3059.982
abc,1687.8
abc,2715.93
