Customer ID,TotalSpending,PurchaseFrequency,AverageOrderValue,Cluster
AA-10315,5563.5599999999995,11,505.7781818181818,0
AA-10375,1056.39,15,70.426,2
AA-10480,1790.512,12,149.20933333333332,2
AA-10645,5086.9349999999995,18,282.60749999999996,1
AB-10015,886.156,6,147.69266666666667,2
AB-10060,7755.619999999999,18,430.86777777777775,0
AB-10105,14473.571,20,723.67855,0
AB-10150,966.71,12,80.55916666666667,2
AB-10165,1113.838,14,79.55985714285714,2
AB-10255,914.5319999999999,14,65.32371428571427,2
AB-10600,1515.862,8,189.48275,2
AC-10420,925.8,5,185.16,2
AC-10450,5527.846,9,614.205111111111,0
AC-10615,2537.686,18,140.98255555555556,1
AC-10660,657.316,6,109.55266666666667,2
AD-10180,6106.88,12,508.9066666666667,0
AF-10870,2052.908,16,128.30675,1
AF-10885,861.565,7,123.0807142857143,2
AG-10270,2582.898,14,184.4927142857143,2
AG-10300,367.548,5,73.5096,2
AG-10330,660.972,9,73.44133333333333,2
AG-10390,200.945,8,25.118125,2
AG-10495,2356.855,21,112.23119047619048,1
AG-10525,1455.038,9,161.6708888888889,2
AG-10675,3489.0396,15,232.60264,1
AG-10765,170.584,5,34.1168,2
AG-10900,4510.7970000000005,21,214.79985714285718,1
AH-10030,1744.7,11,158.60909090909092,2
AH-10075,3250.337,20,162.51685,1
AH-10120,1735.514,16,108.469625,1
AH-10195,1587.452,8,198.4315,2
AH-10210,4805.344,13,369.64184615384613,1
AH-10465,2495.3916,8,311.92395,2
AH-10585,738.504,5,147.70080000000002,2
AH-10690,7888.294,23,342.9693043478261,1
AI-10855,4375.786,18,243.09922222222224,1
AJ-10780,4867.344,15,324.4896,1
AJ-10795,4501.391,21,214.35195238095235,1
AJ-10945,1839.24,10,183.924,2
AJ-10960,629.2479999999999,5,125.84959999999998,2
AM-10360,814.012,12,67.83433333333333,2
AM-10705,5664.022,22,257.4555454545455,1
AO-10810,161.28,1,161.28,2
AP-10720,1638.554,19,86.23968421052632,1
AP-10915,3323.556,31,107.21148387096774,1
AR-10345,1055.694,5,211.1388,2
AR-10405,2236.1279999999997,7,319.4468571428571,2
AR-10510,264.864,7,37.837714285714284,2
AR-10540,6608.448,9,734.272,0
AR-10570,88.15,2,44.075,2
AR-10825,4523.336,13,347.9489230769231,1
AS-10045,3050.692,10,305.0692,2
AS-10090,3255.31,25,130.2124,1
AS-10135,58.82,3,19.606666666666666,2
AS-10225,4260.784000000001,13,327.7526153846154,1
AS-10240,584.608,13,44.96984615384615,2
AS-10285,3214.236,8,401.7795,2
AS-10630,833.398,12,69.44983333333333,2
AT-10435,1171.814,9,130.20155555555556,2
AT-10735,3831.8639999999996,16,239.49149999999997,1
AW-10840,649.3760000000001,8,81.17200000000001,2
AW-10930,2852.9680000000003,16,178.31050000000002,1
AY-10555,497.014,10,49.7014,2
AZ-10750,1622.018,12,135.16816666666668,2
BB-10990,744.34,8,93.0425,2
BB-11545,6765.728,20,338.2864,1
BC-11125,2933.676,18,162.982,1
BD-11320,5718.521,19,300.9747894736842,1
BD-11500,4411.2429999999995,10,441.12429999999995,2
BD-11560,320.54,4,80.135,2
BD-11605,3288.471,20,164.42355,1
BD-11620,1538.11,8,192.26375,2
BD-11635,582.646,5,116.52919999999999,2
BD-11725,1526.5,10,152.65,2
BD-11770,658.466,10,65.8466,2
BE-11335,4204.6759999999995,9,467.18622222222217,2
BE-11410,2261.438,5,452.2876,2
BE-11455,1727.652,13,132.8963076923077,2
BF-10975,599.798,13,46.13830769230769,2
BF-11005,1333.88,10,133.388,2
BF-11020,2888.506,21,137.54790476190476,1
BF-11080,272.95,6,45.49166666666667,2
BF-11170,5907.972,27,218.81377777777777,1
BF-11215,1585.162,8,198.14525,2
BF-11275,791.9899999999999,4,197.99749999999997,2
BG-11035,2798.948,12,233.24566666666666,2
BG-11695,1874.172,8,234.2715,2
BG-11740,1006.356,7,143.76514285714285,2
BH-11710,6255.351,24,260.63962499999997,1
BK-11260,659.1379999999999,16,41.196124999999995,2
BM-11140,11789.630000000001,16,736.8518750000001,0
BM-11575,808.162,10,80.81620000000001,2
BM-11650,7294.185,29,251.5236206896552,1
BM-11785,1338.842,14,95.63157142857143,2
BN-11470,265.296,6,44.216,2
BN-11515,1459.344,17,85.84376470588235,1
BO-11350,2682.728,12,223.56066666666666,2
BO-11425,130.83,2,65.415,2
BP-11050,983.4200000000001,7,140.48857142857145,2
BP-11095,2442.044,20,122.1022,1
BP-11155,1697.861,11,154.351,2
BP-11185,3675.861,18,204.2145,1
BP-11230,1181.49,6,196.915,2
BP-11290,2475.157,16,154.6973125,1
BS-11365,10501.653,9,1166.8503333333333,0
BS-11380,3887.834,13,299.06415384615383,1
BS-11590,2454.928,10,245.4928,2
BS-11665,3288.1099999999997,11,298.91909090909087,2
BS-11755,2562.382,14,183.0272857142857,2
BS-11800,949.4300000000001,8,118.67875000000001,2
BT-11305,2567.656,9,285.2951111111111,2
BT-11395,2186.6130000000003,10,218.66130000000004,2
BT-11440,603.876,7,86.268,2
BT-11485,415.19599999999997,3,138.39866666666666,2
BT-11530,2684.4919999999997,10,268.44919999999996,2
