Customer ID,LastPurchaseDate,PurchaseFrequency,TotalSpending,DaysSinceLastPurchase,Risk
AA-10315,2014-06-30,11,5563.5599999999995,184,High Risk
AA-10375,2014-12-12,15,1056.39,19,Low Risk
AA-10480,2014-04-16,12,1790.512,259,High Risk
AA-10645,2014-11-06,18,5086.9349999999995,55,Low Risk
AB-10015,2013-11-11,6,886.156,415,High Risk
AB-10060,2014-11-07,18,7755.619999999999,54,Low Risk
AB-10105,2014-11-20,20,14473.571,41,Low Risk
AB-10150,2014-11-20,12,966.71,41,Low Risk
AB-10165,2014-12-06,14,1113.838,25,Low Risk
AB-10255,2014-07-18,14,914.5319999999999,166,Medium Risk
AB-10600,2014-11-11,8,1515.862,50,Low Risk
AC-10420,2014-05-13,5,925.8,232,High Risk
AC-10450,2014-12-20,9,5527.846,11,Low Risk
AC-10615,2014-12-25,18,2537.686,6,Low Risk
AC-10660,2014-03-24,6,657.316,282,High Risk
AD-10180,2014-12-02,12,6106.88,29,Low Risk
AF-10870,2014-11-20,16,2052.908,41,Low Risk
AF-10885,2013-11-11,7,861.565,415,High Risk
AG-10270,2014-03-28,14,2582.898,278,High Risk
AG-10300,2014-09-04,5,367.548,118,Medium Risk
AG-10330,2014-12-23,9,660.972,8,Low Risk
AG-10390,2014-09-08,8,200.945,114,Medium Risk
AG-10495,2014-10-14,21,2356.855,78,Low Risk
AG-10525,2012-09-07,9,1455.038,845,High Risk
AG-10675,2014-09-25,15,3489.0396,97,Medium Risk
AG-10765,2014-10-15,5,170.584,77,Low Risk
AG-10900,2014-09-26,21,4510.7970000000005,96,Medium Risk
AH-10030,2014-12-19,11,1744.7,12,Low Risk
AH-10075,2014-11-27,20,3250.337,34,Low Risk
AH-10120,2014-11-01,16,1735.514,60,Low Risk
AH-10195,2014-11-06,8,1587.452,55,Low Risk
AH-10210,2014-12-25,13,4805.344,6,Low Risk
AH-10465,2014-05-15,8,2495.3916,230,High Risk
AH-10585,2014-12-10,5,738.504,21,Low Risk
AH-10690,2013-11-16,23,7888.294,410,High Risk
AI-10855,2014-12-18,18,4375.786,13,Low Risk
AJ-10780,2014-10-17,15,4867.344,75,Low Risk
AJ-10795,2014-07-18,21,4501.391,166,Medium Risk
AJ-10945,2014-10-07,10,1839.24,85,Low Risk
AJ-10960,2014-10-18,5,629.2479999999999,74,Low Risk
AM-10360,2014-12-03,12,814.012,28,Low Risk
AM-10705,2014-07-22,22,5664.022,162,Medium Risk
AO-10810,2013-08-17,1,161.28,501,High Risk
AP-10720,2014-11-20,19,1638.554,41,Low Risk
AP-10915,2014-09-24,31,3323.556,98,Medium Risk
AR-10345,2014-09-11,5,1055.694,111,Medium Risk
AR-10405,2014-08-28,7,2236.1279999999997,125,Medium Risk
AR-10510,2014-12-17,7,264.864,14,Low Risk
AR-10540,2014-12-25,9,6608.448,6,Low Risk
AR-10570,2013-07-15,2,88.15,534,High Risk
AR-10825,2014-11-03,13,4523.336,58,Low Risk
AS-10045,2014-10-04,10,3050.692,88,Low Risk
AS-10090,2014-12-03,25,3255.31,28,Low Risk
AS-10135,2014-11-20,3,58.82,41,Low Risk
AS-10225,2014-12-09,13,4260.784000000001,22,Low Risk
AS-10240,2014-06-22,13,584.608,192,High Risk
AS-10285,2014-12-12,8,3214.236,19,Low Risk
AS-10630,2014-09-30,12,833.398,92,Medium Risk
AT-10435,2014-12-10,9,1171.814,21,Low Risk
AT-10735,2014-12-18,16,3831.8639999999996,13,Low Risk
AW-10840,2014-12-11,8,649.3760000000001,20,Low Risk
AW-10930,2014-11-15,16,2852.9680000000003,46,Low Risk
AY-10555,2014-12-17,10,497.014,14,Low Risk
AZ-10750,2014-07-24,12,1622.018,160,Medium Risk
BB-10990,2014-09-17,8,744.34,105,Medium Risk
BB-11545,2014-12-03,20,6765.728,28,Low Risk
BC-11125,2014-06-12,18,2933.676,202,High Risk
BD-11320,2014-11-28,19,5718.521,33,Low Risk
BD-11500,2014-11-26,10,4411.2429999999995,35,Low Risk
BD-11560,2014-03-28,4,320.54,278,High Risk
BD-11605,2014-09-25,20,3288.471,97,Medium Risk
BD-11620,2014-10-23,8,1538.11,69,Low Risk
BD-11635,2014-12-22,5,582.646,9,Low Risk
BD-11725,2014-09-29,10,1526.5,93,Medium Risk
BD-11770,2014-02-07,10,658.466,327,High Risk
BE-11335,2014-09-03,9,4204.6759999999995,119,Medium Risk
