Product Pair,Frequency
"('Hon Olson Stacker Chairs', 'Staples')",3
"('Satellite Sectional Post Binders', 'Staples')",3
"('#10 White Business Envelopes,4 1/8 x 9 1/2', 'Staples')",3
"('Hoover Shoulder Vac Commercial Portable Vacuum', 'Staples')",3
"('Newell 34', 'Staples')",3
"('KI Adjustable-Height Table', 'Staples')",3
"('Staples', 'Xerox 1916')",3
"('Adjustable Depth Letter/Legal Cart', 'Staples')",3
"('Avery Non-Stick Binders', 'Staples')",2
"('Cisco SPA508G', 'Global Commerce Series High-Back Swivel/Tilt Chairs')",2
"('Speediset Carbonless Redi-Letter 7"" x 8 1/2""', 'Staples')",2
"('Anker Astro Mini 3000mAh Ultra-Compact Portable Charger', 'Bretford CR8500 Series Meeting Room Furniture')",2
"('GBC Plastic Binding Combs', 'Hon Valutask Swivel Chairs')",2
"('X-Rack File for Hanging Folders', 'Xerox 192')",2
"('PureGear Roll-On Screen Protector', 'Staples')",2
"('Carina Double Wide Media Storage Towers in Natural & Black', 'GBC Wire Binding Combs')",2
"('Cisco SPA301', 'Seth Thomas 8 1/2"" Cubicle Clock')",2
"('GBC DocuBind P100 Manual Binding Machine', 'Staples')",2
"('Logitech\xa0VX Revolution Cordless Laser Mouse for Notebooks (Black)', 'Tennsco Industrial Shelving')",2
"('Dax Clear Box Frame', 'Staples')",2
"('Staples', 'Xerox 1957')",2
"('Imation\xa030456 USB\xa0Flash Drive\xa08GB', 'Staples')",2
"('Acco Hanging Data Binders', 'Newell 315')",2
"('Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book', 'Xerox 1882')",2
"('Acme Tagit Stainless Steel Antibacterial Scissors', 'Staples')",2
"('Acco Perma 4000 Stacking Storage Drawers', 'Canon imageCLASS 2200 Advanced Copier')",2
"('Ibico Plastic and Wire Spiral Binding Combs', 'Staples')",2
"('Acco D-Ring Binder w/DublLock', ""I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink"")",2
"('Acme Value Line Scissors', 'Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive')",2
"('GBC Standard Recycled Report Covers, Clear Plastic Sheets', ""O'Sullivan 4-Shelf Bookcase in Odessa Pine"")",2
"(""Global Wood Trimmed Manager's Task Chair, Khaki"", 'Staples')",2
"('GBC Standard Therm-A-Bind Covers', 'Staples')",2
"('Hon Rectangular Conference Tables', 'Plantronics CS510 - Over-the-Head monaural Wireless Headset System')",2
"('Staples', 'Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book')",2
"('Eldon Wave Desk Accessories', 'OIC Binder Clips')",2
"('Staples', 'Xerox 1971')",2
"('Ativa V4110MDD Micro-Cut Shredder', 'Staples')",2
"('Avery Recycled Flexi-View Covers for Binding Systems', 'Lumber Crayons')",2
"('Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back', 'Staples')",2
"('GBC VeloBinder Manual Binding System', 'Insertable Tab Post Binder Dividers')",2
"('Fellowes Stor/Drawer Steel Plus Storage Drawers', 'Staples')",2
"('Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White', 'Staples')",2
"('Eldon Wave Desk Accessories', 'Poly Designer Cover & Back')",2
"('Staples', 'Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear')",2
"('Staples', 'Xerox 188')",2
"('Maxell 4.7GB DVD-R 5/Pack', 'Staples')",2
"('GBC Plastic Binding Combs', 'Staples')",2
"('Avery 486', 'Logitech G35 7.1-Channel Surround Sound Headset')",2
"('Advantus Rolling Storage Box', 'Great White Multi-Use Recycled Paper (20Lb. and 84 Bright)')",2
"('Avery 485', 'DMI Eclipse Executive Suite Bookcases')",2
"('GBC Recycled VeloBinder Covers', 'Wilson Jones Active Use Binders')",2
"('Staples', 'Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue')",2
"('Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5', 'Staples')",2
"('Maxell 4.7GB DVD-R', 'Staples')",2
"('Staples', 'Tennsco Regal Shelving Units')",2
"('Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set', 'Staples')",2
"('Acco Hot Clips Clips to Go', 'Flat Face Poster Frame')",2
"('Boston 16765 Mini Stand Up Battery Pencil Sharpener', 'Microsoft Natural Ergonomic Keyboard 4000')",2
"('DAX Value U-Channel Document Frames, Easel Back', 'Recycled Easel Ring Binders')",2
"('BIC Brite Liner Highlighters, Chisel Tip', 'Staples')",2
"('Avery 505', 'OIC #2 Pencils, Medium Soft')",2
"('Acco Side-Punched Conventional Columnar Pads', 'Avery Fluorescent Highlighter Four-Color Set')",2
"('Belkin Premiere Surge Master II 8-outlet surge protector', 'SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair')",2
"('KI Adjustable-Height Table', 'Toshiba IPT2010-SD IP\xa0Telephone')",2
"('Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry', 'GBC DocuBind TL300 Electric Binding System')",2
"('Anker Astro 15000mAh USB Portable Charger', 'GBC Prestige Therm-A-Bind Covers')",2
"('Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms', 'Staples')",2
"('GBC Standard Therm-A-Bind Covers', 'Google Nexus 5')",2
"('Xerox 1894', 'Xerox 225')",2
"('Apple iPhone 5S', ""O'Sullivan 3-Shelf Heavy-Duty Bookcases"")",1
"('Apple iPhone 5S', 'Plantronics CS510 - Over-the-Head monaural Wireless Headset System')",1
"('Apple iPhone 5S', 'Plastic Stacking Crates & Casters')",1
"('Apple iPhone 5S', 'Xerox 216')",1
"(""O'Sullivan 3-Shelf Heavy-Duty Bookcases"", 'Plantronics CS510 - Over-the-Head monaural Wireless Headset System')",1
"(""O'Sullivan 3-Shelf Heavy-Duty Bookcases"", 'Plastic Stacking Crates & Casters')",1
"(""O'Sullivan 3-Shelf Heavy-Duty Bookcases"", 'Xerox 216')",1
"('Plantronics CS510 - Over-the-Head monaural Wireless Headset System', 'Plastic Stacking Crates & Casters')",1
"('Plantronics CS510 - Over-the-Head monaural Wireless Headset System', 'Xerox 216')",1
"('Cameo Buff Policy Envelopes', 'Kensington Expert Mouse Optical USB Trackball for PC or Mac')",1
"('ARKON Windshield Dashboard Air Vent Car Mount Holder', 'Lifetime Advantage Folding Chairs, 4/Carton')",1
"('Avery Non-Stick Binders', 'Eldon Portable Mobile Manager')",1
"('Avery Non-Stick Binders', ""O'Sullivan Living Dimensions 2-Shelf Bookcases"")",1
"('Avery Non-Stick Binders', 'Premier Automatic Letter Opener')",1
"('Avery Non-Stick Binders', 'Serrated Blade or Curved Handle Hand Letter Openers')",1
"('Eldon Portable Mobile Manager', ""O'Sullivan Living Dimensions 2-Shelf Bookcases"")",1
"('Eldon Portable Mobile Manager', 'Premier Automatic Letter Opener')",1
"('Eldon Portable Mobile Manager', 'Serrated Blade or Curved Handle Hand Letter Openers')",1
"(""O'Sullivan Living Dimensions 2-Shelf Bookcases"", 'Premier Automatic Letter Opener')",1
"(""O'Sullivan Living Dimensions 2-Shelf Bookcases"", 'Serrated Blade or Curved Handle Hand Letter Openers')",1
"('Premier Automatic Letter Opener', 'Serrated Blade or Curved Handle Hand Letter Openers')",1
