iter	RMSE
0	2234.32765
1	2210.401799
2	2191.016177
3	2172.881224
4	2151.576145
5	2133.850318
6	2121.669794
7	2105.173046
8	2082.833323
9	2069.48632
10	2054.543726
11	2042.652067
12	2031.027038
13	2016.562137
14	2002.498556
15	1987.045622
16	1975.855963
17	1966.786745
18	1952.656352
19	1941.862864
20	1929.451992
21	1913.844948
22	1906.034037
23	1897.460739
24	1887.315117
25	1875.944534
26	1869.606236
27	1860.808044
28	1851.27549
29	1841.20007
30	1832.464877
31	1823.79931
32	1815.307029
33	1807.079514
34	1802.469308
35	1797.377574
36	1794.143543
37	1786.996225
38	1779.603285
39	1773.909271
40	1770.259328
41	1762.936856
42	1757.255639
43	1749.709708
44	1746.485685
45	1742.468097
46	1738.538345
47	1733.505472
48	1731.983282
49	1729.015731
50	1723.76018
51	1718.91718
52	1714.875558
53	1710.186626
54	1705.73189
55	1700.316555
56	1697.013926
57	1692.103327
58	1687.732932
59	1682.655439
60	1677.227474
61	1672.803852
62	1668.584686
63	1665.785882
64	1664.597553
65	1662.138561
66	1658.532547
67	1653.385594
68	1651.594007
69	1646.410594
70	1643.292453
71	1637.593666
72	1632.595016
73	1632.190696
74	1627.70623
75	1624.716742
76	1619.059223
77	1615.622384
78	1610.221809
79	1608.356375
80	1606.308782
81	1600.001031
82	1596.760099
83	1595.812218
84	1592.153859
85	1591.054726
86	1589.162181
87	1586.537263
88	1584.284314
89	1582.319552
90	1578.409116
91	1576.420724
92	1571.406969
93	1567.093349
94	1564.093099
95	1557.78749
96	1552.240787
97	1548.305688
98	1546.600443
99	1543.36712
100	1538.479247
101	1534.806401
102	1532.05597
103	1528.863213
104	1524.800741
105	1522.898017
106	1518.11782
107	1514.165476
108	1511.430905
109	1508.26889
110	1504.780837
111	1500.387897
112	1497.400234
113	1495.118591
114	1488.606258
115	1486.461553
116	1483.125725
117	1480.999699
118	1478.491607
119	1477.596043
120	1473.050535
121	1471.56345
122	1469.448005
123	1466.338026
124	1463.437978
125	1461.01913
126	1458.530684
127	1456.723017
128	1453.833665
129	1450.52224
130	1447.641573
131	1445.290496
132	1443.195926
133	1439.872145
134	1437.490699
135	1433.885482
136	1430.848506
137	1427.381834
138	1426.00585
139	1423.225064
140	1419.108233
141	1415.895479
142	1411.70116
143	1407.94141
144	1406.796457
145	1402.268994
146	1401.24343
147	1399.306703
148	1396.12444
149	1393.048442
150	1389.784633
151	1387.283654
152	1384.105584
153	1379.318051
154	1377.687876
155	1375.878218
156	1374.576499
157	1373.506455
158	1371.323706
159	1369.887831
160	1366.700184
161	1365.249456
162	1363.226942
163	1360.344299
164	1357.537972
165	1354.367191
166	1352.976263
167	1351.519879
168	1349.429027
169	1347.254428
170	1345.528166
171	1343.142021
172	1341.135254
173	1339.332421
174	1338.202963
175	1337.125406
176	1335.862722
177	1333.836001
178	1332.749947
179	1330.919463
180	1329.929776
181	1328.831338
182	1328.041747
183	1326.592706
184	1324.999368
185	1322.866108
186	1322.032873
187	1319.776562
188	1314.491779
189	1312.718171
190	1310.320359
191	1309.236558
192	1308.435813
193	1305.33198
194	1304.371176
195	1301.260435
196	1299.81627
197	1297.63789
198	1295.494676
199	1292.617087
200	1289.391166
201	1286.739632
202	1285.477162
203	1284.230916
204	1282.879422
205	1281.341476
206	1279.731264
207	1278.672538
208	1276.857944
209	1274.760474
210	1273.216018
211	1271.002473
212	1268.805944
213	1267.646712
214	1265.393709
215	1263.979122
216	1263.271941
217	1261.899113
218	1261.177474
219	1259.270623
220	1257.634423
221	1254.87379
222	1253.549359
223	1251.432713
224	1250.146051
225	1247.641589
226	1245.896345
227	1245.010083
228	1244.241082
229	1243.178013
230	1241.103154
231	1239.000797
232	1235.984106
233	1234.510889
234	1232.95038
235	1232.124915
236	1229.653356
237	1228.734728
238	1226.392734
239	1224.562465
240	1222.725966
241	1222.17773
242	1220.115529
243	1217.70376
244	1215.85634
245	1212.446569
246	1210.651317
247	1208.401667
248	1206.333775
249	1204.492474
250	1202.319226
251	1198.8891
252	1197.228074
253	1196.037688
254	1193.558111
255	1191.229219
256	1188.928494
257	1186.239656
258	1183.817882
