iter	Passed	Remaining
0	2	1390
1	4	1215
2	7	1211
3	9	1132
4	11	1100
5	12	1049
6	14	1007
7	15	975
8	17	971
9	19	967
10	22	989
11	24	991
12	26	981
13	28	974
14	29	964
15	31	949
16	33	952
17	35	950
18	37	956
19	39	949
20	41	948
21	43	947
22	46	957
23	48	956
24	49	946
25	51	939
26	53	935
27	55	929
28	56	921
29	58	913
30	60	914
31	62	907
32	63	902
33	65	895
34	67	898
35	70	908
36	72	907
37	74	901
38	75	896
39	77	890
40	78	883
41	80	880
42	82	876
43	84	877
44	86	872
45	87	867
46	89	865
47	91	859
48	92	849
49	94	846
50	96	848
51	98	846
52	100	846
53	102	842
54	103	839
55	105	835
56	106	831
57	108	827
58	110	829
59	112	826
60	115	830
61	117	831
62	119	828
63	121	825
64	122	820
65	124	817
66	126	815
67	127	812
68	129	811
69	132	813
70	134	810
71	136	809
72	138	807
73	138	799
74	140	795
75	142	792
76	143	789
77	145	786
78	147	785
79	149	782
80	150	780
81	152	777
82	154	774
83	155	769
84	157	766
85	158	763
86	160	762
87	162	759
88	164	758
89	165	756
90	167	753
91	169	750
92	170	746
93	172	743
94	173	741
95	175	740
96	177	738
97	179	735
98	181	733
99	183	732
100	185	731
101	186	729
102	188	727
103	190	725
104	192	724
105	194	722
106	196	721
107	198	719
108	200	718
109	201	715
110	203	713
111	205	711
112	207	709
113	209	708
114	211	706
115	212	704
116	214	701
117	216	699
118	217	697
119	219	693
120	220	691
121	222	689
122	224	686
123	225	684
124	227	683
125	229	680
126	231	678
127	232	676
128	234	674
129	236	672
130	237	670
131	239	668
132	241	667
133	243	665
134	245	663
135	247	661
136	248	659
137	250	656
138	252	654
139	253	652
140	255	650
141	257	648
142	259	648
143	261	645
144	263	644
145	265	643
146	266	640
147	268	638
148	270	636
149	272	635
150	273	633
151	275	631
152	277	629
153	279	627
154	281	626
155	282	623
156	284	621
157	286	620
158	288	618
159	289	616
160	291	614
161	293	612
162	294	609
163	296	607
164	297	604
165	299	602
166	300	600
167	302	598
168	304	596
169	305	593
170	307	591
171	309	589
172	310	587
173	312	585
174	314	583
175	316	581
176	318	580
177	319	578
178	321	576
179	323	575
180	325	572
181	326	571
182	328	568
183	329	566
184	331	564
185	333	562
186	334	560
187	336	558
188	337	556
189	339	554
190	341	552
191	342	549
192	344	547
193	346	546
194	348	544
195	349	542
196	351	540
197	352	538
198	354	536
199	356	534
200	357	532
201	359	530
202	361	528
203	362	526
204	364	524
205	365	522
206	367	520
207	369	518
208	370	516
209	372	514
210	374	512
211	375	510
212	377	508
213	378	506
214	380	504
215	382	502
216	384	501
217	386	499
218	387	497
219	389	495
220	390	493
221	392	492
222	394	490
223	396	488
224	398	486
225	399	484
226	401	483
227	403	481
228	405	479
229	407	478
230	409	476
231	410	474
232	412	472
233	414	470
234	415	468
235	417	467
236	419	465
237	420	463
238	422	461
239	423	459
240	425	457
241	427	455
242	429	453
243	430	451
244	432	450
245	434	448
246	436	446
247	438	445
248	439	443
249	441	441
250	444	440
251	445	438
252	448	437
253	450	435
254	451	434
255	453	432
256	455	430
257	457	429
258	459	427
259	462	426
260	463	424
261	465	423
262	468	421
263	470	420
264	473	419
265	475	417
266	477	416
267	479	414
268	481	413
269	483	412
270	486	410
271	488	409
272	490	407
273	492	405
274	494	404
275	496	402
276	498	401
277	500	399
278	502	397
279	503	395
280	505	394
281	507	392
282	510	391
283	512	389
284	513	387
285	515	385
286	517	384
287	519	382
288	521	380
289	523	379
290	526	377
291	527	376
292	529	374
293	531	372
294	533	370
295	536	369
296	538	367
297	540	366
298	542	365
299	545	363
300	547	361
301	549	360
302	552	359
303	554	357
304	557	356
305	559	354
306	560	352
307	563	351
308	566	349
309	569	349
310	571	347
311	573	345
312	576	344
313	578	342
314	580	340
315	583	339
316	586	338
317	589	337
318	591	335
319	593	333
320	595	332
321	597	330
322	600	329
323	603	327
324	605	325
325	607	324
326	609	322
327	611	320
328	614	319
329	617	318
330	620	317
331	623	315
332	625	313
333	627	311
334	629	310
335	633	309
336	636	307
337	638	306
338	640	304
339	643	302
340	645	301
341	649	299
342	651	298
343	653	296
344	655	294
345	657	292
346	660	291
347	663	289
348	666	288
349	668	286
350	670	284
351	673	282
352	675	281
353	678	279
354	681	278
355	683	276
356	685	274
357	687	272
358	690	271
359	693	269
360	697	268
361	698	266
362	700	264
363	702	262
364	704	260
365	707	259
366	710	257
367	713	255
368	715	253
369	717	251
370	719	250
371	721	248
372	724	246
373	727	245
374	730	243
375	732	241
376	734	239
377	736	237
378	739	236
379	742	234
380	744	232
381	746	230
382	748	228
383	750	226
384	753	224
385	756	223
386	758	221
387	760	219
388	762	217
389	765	215
390	767	213
391	769	211
392	772	210
393	774	208
394	777	206
395	779	204
396	781	202
397	783	200
398	786	199
399	788	197
400	790	195
401	792	193
402	794	191
403	797	189
404	799	187
405	802	185
406	804	183
407	806	181
408	808	179
409	810	177
410	812	176
411	815	174
412	818	172
413	821	170
414	823	168
415	825	166
416	827	164
417	829	162
418	833	161
419	835	159
420	837	157
421	839	155
422	841	153
423	843	151
424	845	149
425	849	147
426	851	145
427	853	143
428	855	141
429	857	139
430	859	137
431	862	135
432	865	133
433	867	131
434	869	129
435	871	127
436	873	125
437	876	124
438	879	122
439	881	120
440	883	118
441	885	116
