Product Name,Recommended Product,CoOccurrence,Support,Confidence,Lift
"""While you Were Out"" Message Book, One Form per Page",4009 Highlighters by Sanford,1,0.0002,0.3333,208.71
"""While you Were Out"" Message Book, One Form per Page","Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",1,0.0002,0.3333,238.52
"""While you Were Out"" Message Book, One Form per Page",Avery 500,1,0.0002,0.3333,834.83
"""While you Were Out"" Message Book, One Form per Page",Geemarc AmpliPOWER60,1,0.0002,0.3333,151.79
"""While you Were Out"" Message Book, One Form per Page","Global Leather Task Chair, Black",1,0.0002,0.3333,208.71
"#10 Gummed Flap White Envelopes, 100/Box","Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",1,0.0002,0.25,178.89
"#10 Gummed Flap White Envelopes, 100/Box",Xerox 1959,1,0.0002,0.25,208.71
"#10 Gummed Flap White Envelopes, 100/Box","Adams Phone Message Book, 200 Message Capacity, 8 1/16 x 11",1,0.0002,0.25,156.53
"#10 Gummed Flap White Envelopes, 100/Box","Dixon Prang Watercolor Pencils, 10-Color Set with Brush",1,0.0002,0.25,178.89
"#10 Gummed Flap White Envelopes, 100/Box",Sauder Barrister Bookcases,1,0.0002,0.25,417.42
#10 Self-Seal White Envelopes,Canon PC-428 Personal Copier,1,0.0002,0.25,208.71
#10 Self-Seal White Envelopes,Catalog Binders with Expanding Posts,1,0.0002,0.25,156.53
#10 Self-Seal White Envelopes,GBC Twin Loop Wire Binding Elements,1,0.0002,0.25,125.22
#10 Self-Seal White Envelopes,Holmes Odor Grabber,1,0.0002,0.25,156.53
#10 Self-Seal White Envelopes,Hon Pagoda Stacking Chairs,1,0.0002,0.25,313.06
"#10 White Business Envelopes,4 1/8 x 9 1/2",Staples,3,0.000599,0.4286,9.67
"#10 White Business Envelopes,4 1/8 x 9 1/2",Newell 34,1,0.0002,0.1429,102.22
"#10 White Business Envelopes,4 1/8 x 9 1/2",Polycom CX300 Desktop Phone USB VoIP phone,1,0.0002,0.1429,143.11
"#10 White Business Envelopes,4 1/8 x 9 1/2","Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",1,0.0002,0.1429,119.26
"#10 White Business Envelopes,4 1/8 x 9 1/2",Xerox 1971,1,0.0002,0.1429,119.26
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","DataProducts Ampli Magnifier Task Lamp, Black,",1,0.0002,0.1,100.18
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes","OIC Colored Binder Clips, Assorted Sizes",1,0.0002,0.1,71.56
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Newell 34,1,0.0002,0.1,71.56
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Wilson Jones data.warehouse D-Ring Binders with DublLock,1,0.0002,0.1,100.18
"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Bevis Round Conference Table Top & Single Column Base,1,0.0002,0.1,100.18
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes","Global Deluxe Stacking Chair, Gray",1,0.0002,0.125,89.45
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Dax Clear Box Frame,1,0.0002,0.125,104.35
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",SANFORD Liquid Accent Tank-Style Highlighters,1,0.0002,0.125,208.71
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Avery Durable Slant Ring Binders With Label Holder,1,0.0002,0.125,69.57
"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Ibico Presentation Index for Binding Systems,1,0.0002,0.125,89.45
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1,0.0002,0.5,313.06
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","Global Fabric Manager's Chair, Dark Gray",1,0.0002,0.5,278.28
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Plantronics HL10 Handset Lifter,1,0.0002,0.5,834.83
#6 3/4 Gummed Flap White Envelopes,Accohide Poly Flexible Ring Binders,1,0.0002,0.25,156.53
#6 3/4 Gummed Flap White Envelopes,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1,0.0002,0.25,113.84
#6 3/4 Gummed Flap White Envelopes,Newell 347,1,0.0002,0.25,178.89
#6 3/4 Gummed Flap White Envelopes,"Tennsco Lockers, Sand",1,0.0002,0.25,250.45
#6 3/4 Gummed Flap White Envelopes,Nu-Dell Float Frame 11 x 14 1/2,1,0.0002,0.25,178.89
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Newell 310,1,0.0002,0.1667,119.26
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Southworth 100% Résumé Paper, 24lb.",1,0.0002,0.1667,119.26
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Avery Heavy-Duty EZD  Binder With Locking Rings,1,0.0002,0.1667,139.14
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators","Dixon Prang Watercolor Pencils, 10-Color Set with Brush",1,0.0002,0.1667,119.26
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Newell 331,1,0.0002,0.1667,208.71
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Nortel Meridian M3904 Professional Digital phone,1,0.0002,0.5,250.45
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack","Sanford Colorific Eraseable Coloring Pencils, 12 Count",1,0.0002,0.5,626.12
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Staples,1,0.0002,0.5,11.28
"1/4 Fold Party Design Invitations & White Envelopes, 24 8-1/2"" X 11"" Cards, 25 Env./Pack",Xerox 226,1,0.0002,0.5,227.68
12 Colored Short Pencils,"Master Caster Door Stop, Large Neon Orange",1,0.0002,0.3333,238.52
12 Colored Short Pencils,Xerox 1985,1,0.0002,0.3333,834.83
12-1/2 Diameter Round Wall Clock,Global Comet Stacking Arm Chair,1,0.0002,0.125,125.22
12-1/2 Diameter Round Wall Clock,Strathmore Photo Mount Cards,1,0.0002,0.125,69.57
12-1/2 Diameter Round Wall Clock,Wilson Electronics DB Pro Signal Booster,1,0.0002,0.125,62.61
12-1/2 Diameter Round Wall Clock,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",1,0.0002,0.125,156.53
12-1/2 Diameter Round Wall Clock,Newell 343,1,0.0002,0.125,89.45
14-7/8 x 11 Blue Bar Computer Printout Paper,Advantus Push Pins,1,0.0002,0.25,178.89
14-7/8 x 11 Blue Bar Computer Printout Paper,"Angle-D Binders with Locking Rings, Label Holders",1,0.0002,0.25,125.22
14-7/8 x 11 Blue Bar Computer Printout Paper,AT&T 17929 Lendline Telephone,1,0.0002,0.25,125.22
14-7/8 x 11 Blue Bar Computer Printout Paper,Assorted Color Push Pins,1,0.0002,0.25,156.53
14-7/8 x 11 Blue Bar Computer Printout Paper,Xerox 1915,1,0.0002,0.25,139.14
2300 Heavy-Duty Transfer File Systems by Perma,Global Leather Executive Chair,1,0.0002,0.25,178.89
2300 Heavy-Duty Transfer File Systems by Perma,3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,1,0.0002,0.25,313.06
2300 Heavy-Duty Transfer File Systems by Perma,GBC VeloBinder Electric Binding Machine,1,0.0002,0.25,313.06
2300 Heavy-Duty Transfer File Systems by Perma,Lock-Up Easel 'Spel-Binder',1,0.0002,0.25,178.89
2300 Heavy-Duty Transfer File Systems by Perma,Petty Cash Envelope,1,0.0002,0.25,417.42
"24 Capacity Maxi Data Binder Racks, Pearl","Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",1,0.0002,0.25,113.84
"24 Capacity Maxi Data Binder Racks, Pearl",Logitech Wireless Performance Mouse MX for PC and Mac,1,0.0002,0.25,178.89
"24 Capacity Maxi Data Binder Racks, Pearl",Satellite Sectional Post Binders,1,0.0002,0.25,113.84
"24 Capacity Maxi Data Binder Racks, Pearl",Wirebound Voice Message Log Book,1,0.0002,0.25,626.12
"24 Capacity Maxi Data Binder Racks, Pearl","Global Push Button Manager's Chair, Indigo",1,0.0002,0.25,139.14
24-Hour Round Wall Clock,Geemarc AmpliPOWER60,1,0.0002,0.1667,75.89
