product_id,stock_quantity,low_stock_threshold
TEC-SHA-10000501,86,20
OFF-AP-10004246,49,20
TEC-MA-10004125,106,20
OFF-AP-10001630,15,20
FUR-TA-10000687,55,20
TEC-PH-10004327,117,20
FUR-TA-10003627,121,20
TEC-PH-10002898,13,20
TEC-MA-10003979,109,20
FUR-TA-10000347,122,20
TEC-MA-10003673,58,20
TEC-EPS-10000053,37,20
FUR-BAR-10004434,56,20
FUR-TA-10000022,87,20
FUR-TA-10002153,36,20
OFF-AP-10004350,122,20
OFF-AP-10003240,64,20
FUR-BO-10002866,72,20
TEC-CO-10002663,36,20
OFF-AP-10000136,98,20
FUR-LES-10002026,94,20
FUR-TA-10001285,55,20
FUR-TA-10001116,67,20
TEC-MA-10000010,14,20
FUR-BUS-10004644,92,20
OFF-AP-10002321,56,20
FUR-TA-10004711,123,20
FUR-CH-10000051,83,20
OFF-AP-10001329,93,20
OFF-AP-10003558,76,20
FUR-TA-10002101,94,20
OFF-AP-10003621,114,20
TEC-MA-10002927,49,20
TEC-CO-10002122,96,20
FUR-TA-10001229,96,20
TEC-PH-10000808,81,20
FUR-TA-10003641,96,20
FUR-TA-10002951,85,20
FUR-TA-10004745,89,20
FUR-CHR-10002165,98,20
FUR-BO-10003282,37,20
FUR-CH-10002980,85,20
FUR-CH-10004910,9,20
OFF-AP-10004186,7,20
FUR-TA-10002650,107,20
TEC-PH-10004182,73,20
FUR-BUS-10001781,52,20
FUR-TA-10000927,38,20
FUR-TA-10000226,123,20
FUR-TA-10003307,94,20
FUR-BO-10000160,48,20
OFF-AP-10000162,43,20
FUR-TA-10004744,124,20
OFF-AP-10000437,87,20
OFF-AP-10003057,36,20
FUR-TA-10001572,118,20
TEC-PH-10004057,94,20
TEC-MA-10001047,105,20
FUR-CHR-10001018,78,20
TEC-CO-10002043,42,20
FUR-TA-10004649,81,20
TEC-PH-10002936,69,20
TEC-PH-10003856,112,20
TEC-MA-10003353,3,20
FUR-BO-10000892,70,20
TEC-CO-10003226,84,20
TEC-PH-10002114,38,20
FUR-TA-10000991,36,20
FUR-CH-10000527,40,20
FUR-DAN-10002348,88,20
TEC-MA-10001695,38,20
FUR-TA-10002523,88,20
FUR-LES-10004886,97,20
FUR-CH-10000981,52,20
TEC-PH-10000030,124,20
TEC-CO-10001449,78,20
TEC-CO-10003087,68,20
TEC-PH-10001289,12,20
OFF-AP-10002904,96,20
TEC-MA-10000112,48,20
FUR-TA-10000989,82,20
FUR-TA-10002931,49,20
TEC-MA-10002937,106,20
TEC-MA-10004587,16,20
