store_id,store_name,location
1,Store_New_York_City,"New York City, New York, United States"
2,Store_Wollongong,"Wollongong, New South Wales, Australia"
3,Store_Brisbane,"Brisbane, Queensland, Australia"
4,Store_Berlin,"Berlin, Berlin, Germany"
5,Store_Dakar,"Dakar, Dakar, Senegal"
6,Store_Sydney,"Sydney, New South Wales, Australia"
7,Store_Porirua,"Porirua, Wellington, New Zealand"
8,Store_Hamilton,"Hamilton, Waikato, New Zealand"
9,Store_Sacramento,"Sacramento, California, United States"
10,Store_Concord,"Concord, North Carolina, United States"
11,Store_Alexandria,"Alexandria, Virginia, United States"
12,Store_Kabul,"Kabul, Kabul, Afghanistan"
13,Store_Jizan,"Jizan, Jizan, Saudi Arabia"
14,Store_Toledo,"Toledo, Parana, Brazil"
15,Store_Mudanjiang,"Mudanjiang, Heilongjiang, China"
16,Store_Paris,"Paris, Ile-de-France, France"
17,Store_Henderson,"Henderson, Kentucky, United States"
18,Store_Prato,"Prato, Tuscany, Italy"
19,Store_Townsville,"Townsville, Queensland, Australia"
20,Store_Uvinza,"Uvinza, Kigoma, Tanzania"
21,Store_Bytom,"Bytom, Silesia, Poland"
22,Store_Chicago,"Chicago, Illinois, United States"
23,Store_Suzhou,"Suzhou, Anhui, China"
24,Store_Edinburgh,"Edinburgh, Scotland, United Kingdom"
25,Store_Juárez,"Juárez, Chihuahua, Mexico"
26,Store_Soyapango,"Soyapango, San Salvador, El Salvador"
27,Store_Taipei,"Taipei, Taipei City, Taiwan"
28,Store_Leipzig,"Leipzig, Saxony, Germany"
29,Store_Los_Angeles,"Los Angeles, California, United States"
30,Store_Surat,"Surat, Gujarat, India"
31,Store_Santo_Domingo,"Santo Domingo, Santo Domingo, Dominican Republic"
32,Store_Saint-Brieuc,"Saint-Brieuc, Brittany, France"
33,Store_Amarillo,"Amarillo, Texas, United States"
34,Store_Gold_Coast,"Gold Coast, Queensland, Australia"
35,Store_Fresno,"Fresno, California, United States"
36,Store_Kamina,"Kamina, Katanga, Democratic Republic of the Congo"
37,Store_Burlington,"Burlington, North Carolina, United States"
38,Store_Stockton-on-Tees,"Stockton-on-Tees, England, United Kingdom"
39,Store_Mataram,"Mataram, Nusa Tenggara Barat, Indonesia"
40,Store_Gorakhpur,"Gorakhpur, Haryana, India"
41,Store_Thiruvananthapuram,"Thiruvananthapuram, Kerala, India"
42,Store_Huddersfield,"Huddersfield, England, United Kingdom"
43,Store_Minneapolis,"Minneapolis, Minnesota, United States"
44,Store_Montreuil,"Montreuil, Ile-de-France, France"
45,Store_Shouguang,"Shouguang, Shandong, China"
46,Store_Jamshedpur,"Jamshedpur, Jharkhand, India"
47,Store_Paysandú,"Paysandú, Paysandú, Uruguay"
48,Store_Behshahr,"Behshahr, Mazandaran, Iran"
49,Store_Huntington_Beach,"Huntington Beach, California, United States"
50,Store_Maputo,"Maputo, Cidade De Maputo, Mozambique"
