product_id,product_name,category,unit_price
TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",Technology,354.12
OFF-AP-10004246,"Breville Stove, Red",Office Supplies,505.386
TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,1999.995
OFF-AP-10001630,"Hamilton Beach Microwave, Black",Office Supplies,187.96
FUR-TA-10000687,"Bevis Conference Table, with Bottom Storage",Furniture,489.5928
TEC-PH-10004327,"Motorola Smart Phone, Full Size",Technology,643.98
FUR-TA-10003627,"Bevis Conference Table, with Bottom Storage",Furniture,923.76
TEC-PH-10002898,"Samsung Smart Phone, Full Size",Technology,541.824
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,699.99
FUR-TA-10000347,"Hon Computer Table, Adjustable Height",Furniture,318.3765
TEC-MA-10003673,Hewlett-Packard Desktjet 6988DT Refurbished Printer,Technology,680.9
TEC-EPS-10000053,"Epson Receipt Printer, Red",Technology,114.18
FUR-BAR-10004434,"Barricks Wood Table, Rectangular",Furniture,514.5
FUR-TA-10000022,"Hon Conference Table, Adjustable Height",Furniture,923.67
FUR-TA-10002153,"Lesro Round Table, with Bottom Storage",Furniture,316.407
OFF-AP-10004350,"KitchenAid Refrigerator, Red",Office Supplies,316.764
OFF-AP-10003240,"Breville Stove, Black",Office Supplies,560.97
FUR-BO-10002866,"Safco Classic Bookcase, Pine",Furniture,263.7
TEC-CO-10002663,"Sharp Wireless Fax, Laser",Technology,355.92
OFF-AP-10000136,"Hamilton Beach Refrigerator, White",Office Supplies,413.5641
FUR-LES-10002026,"Lesro Conference Table, Rectangular",Furniture,855.15
FUR-TA-10001285,"Chromcraft Conference Table, Fully Assembled",Furniture,466.208
FUR-TA-10001116,"Barricks Conference Table, Fully Assembled",Furniture,908.55
TEC-MA-10000010,Hewlett-Packard Deskjet 3050a All-in-One Color Inkjet Printer,Technology,380.0
FUR-BUS-10004644,"Bush Library with Doors, Pine",Furniture,365.67
OFF-AP-10002321,"Hoover Microwave, Silver",Office Supplies,309.39
FUR-TA-10004711,"Lesro Conference Table, Adjustable Height",Furniture,859.77
FUR-CH-10000051,"Harbour Creations Executive Leather Armchair, Black",Furniture,473.61
OFF-AP-10001329,"KitchenAid Stove, White",Office Supplies,284.145
OFF-AP-10003558,"Hoover Refrigerator, White",Office Supplies,524.4
FUR-TA-10002101,"Bevis Conference Table, Fully Assembled",Furniture,493.456
OFF-AP-10003621,"KitchenAid Refrigerator, Red",Office Supplies,438.1902
TEC-MA-10002927,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,Technology,1995.99
TEC-CO-10002122,"Hewlett Fax Machine, Digital",Technology,319.56
FUR-TA-10001229,"Chromcraft Computer Table, Rectangular",Furniture,235.2
TEC-PH-10000808,"Samsung Smart Phone, Cordless",Technology,170.4
FUR-TA-10003641,"Barricks Wood Table, with Bottom Storage",Furniture,275.696
FUR-TA-10002951,"Barricks Round Table, Adjustable Height",Furniture,327.405
FUR-TA-10004745,"Chromcraft Conference Table, Rectangular",Furniture,609.168
FUR-CHR-10002165,"Chromcraft Wood Table, Adjustable Height",Furniture,484.71
FUR-BO-10003282,"Ikea Classic Bookcase, Mobile",Furniture,372.843
FUR-CH-10002980,"Hon Executive Leather Armchair, Red",Furniture,275.634
FUR-CH-10004910,"Office Star Executive Leather Armchair, Red",Furniture,422.712
OFF-AP-10004186,"Breville Refrigerator, Black",Office Supplies,518.76
FUR-TA-10002650,"Hon Wood Table, with Bottom Storage",Furniture,531.33
TEC-PH-10004182,"Motorola Smart Phone, Full Size",Technology,428.46
FUR-BUS-10001781,"Bush Library with Doors, Metal",Furniture,363.78
FUR-TA-10000927,"Bevis Conference Table, Fully Assembled",Furniture,246.728
FUR-TA-10000226,"Chromcraft Conference Table, with Bottom Storage",Furniture,610.869
FUR-TA-10003307,"Barricks Conference Table, Fully Assembled",Furniture,484.56
FUR-BO-10000160,"Safco Library with Doors, Pine",Furniture,352.026
OFF-AP-10000162,"Breville Microwave, Black",Office Supplies,271.026
FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",Furniture,857.58
OFF-AP-10000437,"KitchenAid Refrigerator, Red",Office Supplies,527.94
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Office Supplies,275.37
FUR-TA-10001572,"Hon Wood Table, Rectangular",Furniture,282.08
TEC-PH-10004057,"Motorola Smart Phone, with Caller ID",Technology,430.36
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,1299.99
FUR-CHR-10001018,"Chromcraft Round Table, Rectangular",Furniture,464.67
TEC-CO-10002043,"Canon Wireless Fax, Digital",Technology,378.3
FUR-TA-10004649,"Barricks Round Table, Rectangular",Furniture,324.402
TEC-PH-10002936,"Nokia Smart Phone, Full Size",Technology,636.06
TEC-PH-10003856,"Motorola Smart Phone, with Caller ID",Technology,645.54
TEC-MA-10003353,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,359.994
FUR-BO-10000892,"Bush Corner Shelving, Mobile",Furniture,126.51
TEC-CO-10003226,"Canon Fax Machine, Laser",Technology,318.39
